Компания,Сайт,Ниша,Город,Контактное лицо,Должность,Email,Источник email,Краткий факт,Персонализация,Источник факта,Комментарий
B2B-Creative,https://b2b-creative.ru/,B2B-маркетинг / digital,Россия,Коммерческий отдел,Продажи,info@b2b-c.ru,https://b2b-creative.ru/,Агентство работает с B2B-задачами и указывает email для коммерческих вопросов.,"Увидел, что вы работаете с B2B-маркетингом и выделяете коммерческий email для входящих запросов. Для таких услуг холодный email-аутрич может быть отдельным каналом привлечения заявок от компаний.",https://b2b-creative.ru/,Публичный общий email
KozhinDev,https://kozhindev.com/,Разработка SaaS / CRM / ERP,Россия,Коммерческий отдел,Продажи,hello@kozhindev.com,https://kozhindev.com/services/saas-services,"Компания делает SaaS-сервисы, ERP, CRM, веб-приложения и микросервисную разработку.","Увидел, что вы разрабатываете SaaS, ERP и CRM-решения. Для таких B2B-услуг можно тестировать email-аутрич по сегментам компаний, которым нужны цифровые продукты и автоматизация.",https://kozhindev.com/services/saas-services,Публичный общий email
1C-Битрикс / Битрикс24,https://www.bitrix24.ru/,CRM / SaaS / корпоративный софт,Москва,Общий контакт,Компания,info@1c-bitrix.ru,https://www.bitrix24.ru/about/contacts.php,"Битрикс24 — CRM и корпоративная платформа, на сайте указан общий email компании.","Увидел, что Битрикс24 работает с CRM и корпоративными коммуникациями. Для партнёрских и B2B-направлений email-аутрич может быть полезен как канал поиска новых сегментов и интеграторов.",https://www.bitrix24.ru/about/contacts.php,"Крупная компания, лучше как пример"
Only.digital,https://only.digital/,Digital-агентство / B2B,Москва,Коммерческий отдел,Проекты,hello@only.digital,https://only.digital/,"Only.digital позиционируется как digital-агентство с аналитикой, брендингом и разработкой для B2B.","Увидел, что вы делаете аналитику, брендинг и разработку для B2B-компаний. Для таких сложных услуг email-аутрич можно использовать как аккуратный канал выхода на ЛПР по конкретным сегментам.",https://only.digital/,Публичный общий email
Email Connector,https://email-connector.ru/,Интеграции для Битрикс24 / email,Санкт-Петербург,Коммерческий отдел,Поддержка/продажи,hello@email-connector.ru,https://email-connector.ru/,Сервис помогает с интеграцией email-рассылок и Битрикс24.,"Увидел, что ваш продукт связан с email-интеграциями для Битрикс24. Это близко к теме outbound и может хорошо ложиться на B2B-аудиторию, где уже есть CRM и работа с базой клиентов.",https://email-connector.ru/,Публичный общий email
MegaCRM,https://megacrm.ru/,CRM-система,Москва / Санкт-Петербург / Барнаул,Техническая поддержка,Поддержка,support@megacrm.ru,https://megacrm.ru/kontakty,"MegaCRM указывает отдел продаж и техническую поддержку, продукт связан с CRM для бизнеса.","Увидел, что MegaCRM работает в CRM-сегменте и имеет отдельный отдел продаж. Для CRM-продуктов холодный email-аутрич может быть полезен для выхода на компании, которые ещё ведут продажи в таблицах или старых системах.",https://megacrm.ru/kontakty,Email поддержки
Roistat,https://roistat.com/,Сквозная аналитика / MarTech,Россия,Коммерческий отдел,Продажи,manager@roistat.com,https://roistat.com/contacts,Roistat — сервис маркетинговой аналитики с AI-позиционированием.,"Увидел, что Roistat работает на стыке маркетинговой аналитики, CRM и AI. Для таких B2B-продуктов email-аутрич может помогать тестировать новые сегменты и гипотезы привлечения.",https://roistat.com/contacts,Публичный общий email
Calltouch,https://www.calltouch.ru/,Сквозная аналитика / коллтрекинг,Москва,Отдел продаж,Продажи,sales@calltouch.net,https://www.calltouch.ru/about/contacts/,"Calltouch указывает отдельный email отдела продаж и работает с аналитикой звонков, рекламы и обращений.","Увидел, что у вас сильный продукт для аналитики звонков и рекламных каналов. Для такого решения можно точечно тестировать outbound по компаниям с активными продажами и большим потоком заявок.",https://www.calltouch.ru/about/contacts/,Публичный sales email
MANGO OFFICE,https://www.mango-office.ru/,Бизнес-коммуникации / телефония,Москва,Отдел продаж,Продажи,sales@mangotele.com,https://www.mango-office.ru/contacts/,"MANGO OFFICE предлагает бизнес-коммуникации, ВАТС, контакт-центр, роботов и аналитику.","Увидел, что MANGO OFFICE работает с коммуникациями, контакт-центрами и роботами для бизнеса. Для таких продуктов email-аутрич может быть полезен при выходе на компании с отделами продаж и клиентским сервисом.",https://www.mango-office.ru/contacts/,Публичный sales email
Mindbox,https://mindbox.ru/,CRM-маркетинг / автоматизация маркетинга,Москва,Общий контакт,Компания,info@mindbox.ru,https://mindbox.ru/contacts/,"Mindbox работает с маркетинговой автоматизацией, email-рассылками и CRM-кампаниями.","Увидел, что Mindbox развивает CRM-маркетинг, рассылки и автоматические коммуникации. Для таких решений outbound может быть отдельным каналом поиска компаний с уже зрелым маркетингом и базой клиентов.",https://mindbox.ru/contacts/,Публичный общий email
DashaMail,https://dashamail.ru/,Email-маркетинг / рассылки,Санкт-Петербург,Общие вопросы,Компания,info@dashamail.ru,https://dashamail.ru/contact/,"DashaMail — сервис email-рассылок, на сайте есть отдельные email для общих и технических вопросов.","Увидел, что DashaMail помогает бизнесу запускать email-рассылки и работать с доставляемостью. Polza Agency может быть близка как подрядчик по outbound-кампаниям для B2B-сегмента.",https://dashamail.ru/contact/,Публичный общий email
Jivo,https://www.jivo.ru/,Омниканальная коммуникация / чат для сайта,Москва,Отдел продаж,Продажи,info@jivosite.com,https://www.jivo.ru/help/email/,"Jivo помогает бизнесу собирать обращения через чат, почту и другие каналы коммуникации.","Увидел, что Jivo работает с клиентскими коммуникациями и сбором обращений с сайта. Для такого продукта outbound может быть полезен по сегментам компаний, которые активно получают лиды через сайт.",https://www.jivo.ru/help/email/,Публичный общий email
Carrot quest,https://www.carrotquest.io/,MarTech / чат-боты / email-маркетинг,Россия,Поддержка,Поддержка,support@carrotquest.io,https://www.carrotquest.io/about-company,"Carrot quest работает с чатами, поп-апами, email-маркетингом и сбором лидов.","Увидел, что Carrot quest закрывает задачи лидогенерации, коммуникаций и email-маркетинга. Для такого продукта можно тестировать холодный outbound по компаниям с активным сайтом и воронкой продаж.",https://www.carrotquest.io/about-company,Email поддержки
